<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20210108;200000;73,2
AFLT;60;20210108;210000;73,2
AFLT;60;20210108;220000;73,18
AFLT;60;20210108;230000;73,42
AFLT;60;20210109;0;73,58
AFLT;60;20210111;110000;73,4
AFLT;60;20210111;120000;73,92
AFLT;60;20210111;130000;74,44
AFLT;60;20210111;140000;74,08
AFLT;60;20210111;150000;74,3
AFLT;60;20210111;160000;74,2
AFLT;60;20210111;170000;73,58
AFLT;60;20210111;180000;73,56
AFLT;60;20210111;190000;73,74
AFLT;60;20210111;200000;73,78
AFLT;60;20210111;210000;73,72
AFLT;60;20210111;220000;73,86
AFLT;60;20210111;230000;74,02
AFLT;60;20210112;0;74,08
AFLT;60;20210112;110000;74,38
AFLT;60;20210112;120000;74,04
AFLT;60;20210112;130000;74,2
AFLT;60;20210112;140000;74,34
AFLT;60;20210112;150000;74,36
AFLT;60;20210112;160000;74,08
AFLT;60;20210112;170000;73,54
AFLT;60;20210112;180000;73,42
AFLT;60;20210112;190000;73,54
AFLT;60;20210112;200000;73,78
AFLT;60;20210112;210000;73,98
AFLT;60;20210112;220000;74,02
AFLT;60;20210112;230000;74,04
AFLT;60;20210113;0;74,18
AFLT;60;20210113;110000;73,64
AFLT;60;20210113;120000;73,32
AFLT;60;20210113;130000;73,46
AFLT;60;20210113;140000;73,32
AFLT;60;20210113;150000;73,36
AFLT;60;20210113;160000;73,08
AFLT;60;20210113;170000;73,1
AFLT;60;20210113;180000;73,04
AFLT;60;20210113;190000;73,36
AFLT;60;20210113;200000;73,46
AFLT;60;20210113;210000;73,5
AFLT;60;20210113;220000;73,52
AFLT;60;20210113;230000;73,52
AFLT;60;20210114;0;73,5
AFLT;60;20210114;110000;72,98
AFLT;60;20210114;120000;73,04
AFLT;60;20210114;130000;73,02
AFLT;60;20210114;140000;73,04
AFLT;60;20210114;150000;72,8
AFLT;60;20210114;160000;73,04
AFLT;60;20210114;170000;72,8
AFLT;60;20210114;180000;73
AFLT;60;20210114;190000;73,2
AFLT;60;20210114;200000;73,3
AFLT;60;20210114;210000;73,18
AFLT;60;20210114;220000;73,22
AFLT;60;20210114;230000;73,22
AFLT;60;20210115;0;73,16
AFLT;60;20210115;110000;73,2
AFLT;60;20210115;120000;73,52
AFLT;60;20210115;130000;73,4
AFLT;60;20210115;140000;73,42
AFLT;60;20210115;150000;73,04
AFLT;60;20210115;160000;72,5
AFLT;60;20210115;170000;72,6
AFLT;60;20210115;180000;72,58
AFLT;60;20210115;190000;72,6
AFLT;60;20210115;200000;72,42
AFLT;60;20210115;210000;72,32
AFLT;60;20210115;220000;72,22
AFLT;60;20210115;230000;72,36
AFLT;60;20210116;0;72,3
AFLT;60;20210118;110000;72,62
AFLT;60;20210118;120000;72,56
AFLT;60;20210118;130000;72,42
AFLT;60;20210118;140000;72,62
AFLT;60;20210118;150000;72,58
AFLT;60;20210118;160000;72,58
AFLT;60;20210118;170000;72,48
AFLT;60;20210118;180000;72,48
AFLT;60;20210118;190000;72,44
AFLT;60;20210118;200000;72,62
AFLT;60;20210118;210000;72,7
AFLT;60;20210118;220000;72,64
AFLT;60;20210118;230000;72,7
AFLT;60;20210119;0;72,78
AFLT;60;20210119;110000;73,44
AFLT;60;20210119;120000;73,72
AFLT;60;20210119;130000;73,68
AFLT;60;20210119;140000;73,7
AFLT;60;20210119;150000;74,22
AFLT;60;20210119;160000;74,18
AFLT;60;20210119;170000;73,78
AFLT;60;20210119;180000;73,56
AFLT;60;20210119;190000;73,4
AFLT;60;20210119;200000;73,36
AFLT;60;20210119;210000;73,78
AFLT;60;20210119;220000;73,76
AFLT;60;20210119;230000;73,84
AFLT;60;20210120;0;73,72
AFLT;60;20210120;110000;73,8
AFLT;60;20210120;120000;74,08
AFLT;60;20210120;130000;74,12
AFLT;60;20210120;140000;73,86
AFLT;60;20210120;150000;73,5
AFLT;60;20210120;160000;73,4
AFLT;60;20210120;170000;73,44
AFLT;60;20210120;180000;73,6
AFLT;60;20210120;190000;73,8
AFLT;60;20210120;200000;73,64
AFLT;60;20210120;210000;73,56
AFLT;60;20210120;220000;73,5
AFLT;60;20210120;230000;73,62
AFLT;60;20210121;0;73,72
AFLT;60;20210121;110000;73,5
AFLT;60;20210121;120000;72,5
AFLT;60;20210121;130000;72,58
AFLT;60;20210121;140000;72,86
AFLT;60;20210121;150000;72,6
AFLT;60;20210121;160000;72,68
AFLT;60;20210121;170000;72,82
AFLT;60;20210121;180000;72,48
AFLT;60;20210121;190000;72,52
AFLT;60;20210121;200000;72,58
AFLT;60;20210121;210000;72,54
AFLT;60;20210121;220000;72,56
AFLT;60;20210121;230000;72,54
AFLT;60;20210122;0;72,5
AFLT;60;20210122;110000;71,58
AFLT;60;20210122;120000;71,48
AFLT;60;20210122;130000;71,88
AFLT;60;20210122;140000;72,08
AFLT;60;20210122;150000;72,08
AFLT;60;20210122;160000;72,1
AFLT;60;20210122;170000;72,12
AFLT;60;20210122;180000;72,18
AFLT;60;20210122;190000;72,16
AFLT;60;20210122;200000;71,94
AFLT;60;20210122;210000;71,76
AFLT;60;20210122;220000;71,84
AFLT;60;20210122;230000;71,86
AFLT;60;20210123;0;71,84
AFLT;60;20210125;110000;71,2
AFLT;60;20210125;120000;71,08
AFLT;60;20210125;130000;70,98
AFLT;60;20210125;140000;71,06
AFLT;60;20210125;150000;70,44
AFLT;60;20210125;160000;70,58
AFLT;60;20210125;170000;70,72
AFLT;60;20210125;180000;70,9
AFLT;60;20210125;190000;71,08
AFLT;60;20210125;200000;71,06
AFLT;60;20210125;210000;70,98
AFLT;60;20210125;220000;71,06
AFLT;60;20210125;230000;71,08
AFLT;60;20210126;0;71,14
AFLT;60;20210126;110000;70,72
AFLT;60;20210126;120000;70,88
AFLT;60;20210126;130000;70,88
AFLT;60;20210126;140000;70,82
AFLT;60;20210126;150000;70,84
AFLT;60;20210126;160000;70,92
AFLT;60;20210126;170000;70,5
AFLT;60;20210126;180000;70,66
AFLT;60;20210126;190000;70,5
AFLT;60;20210126;200000;70,68
AFLT;60;20210126;210000;70,68
AFLT;60;20210126;220000;70,74
AFLT;60;20210126;230000;70,8
AFLT;60;20210127;0;70,76
AFLT;60;20210127;110000;70,94
AFLT;60;20210127;120000;70,66
AFLT;60;20210127;130000;70,22
AFLT;60;20210127;140000;70,22
AFLT;60;20210127;150000;70,12
AFLT;60;20210127;160000;70,02
AFLT;60;20210127;170000;70,2
AFLT;60;20210127;180000;70,14
AFLT;60;20210127;190000;69,88
AFLT;60;20210127;200000;70,02
AFLT;60;20210127;210000;70,1
AFLT;60;20210127;220000;70,14
AFLT;60;20210127;230000;70,04
AFLT;60;20210128;0;69,88
AFLT;60;20210128;110000;69,44
AFLT;60;20210128;120000;69,28
AFLT;60;20210128;130000;69,4
AFLT;60;20210128;140000;69,36
AFLT;60;20210128;150000;69,42
AFLT;60;20210128;160000;69,9
AFLT;60;20210128;170000;70,92
AFLT;60;20210128;180000;70,72
AFLT;60;20210128;190000;70,42
AFLT;60;20210128;200000;70,56
AFLT;60;20210128;210000;70,94
AFLT;60;20210128;220000;70,96
AFLT;60;20210128;230000;70,9
AFLT;60;20210129;0;71
AFLT;60;20210129;110000;70,86
AFLT;60;20210129;120000;70,38
AFLT;60;20210129;130000;70,26
AFLT;60;20210129;140000;70,42
AFLT;60;20210129;150000;70,56
AFLT;60;20210129;160000;70,36
AFLT;60;20210129;170000;70,16
AFLT;60;20210129;180000;70,06
AFLT;60;20210129;190000;70,02
AFLT;60;20210129;200000;70,16
AFLT;60;20210129;210000;70,12
AFLT;60;20210129;220000;69,94
AFLT;60;20210129;230000;69,96
AFLT;60;20210130;0;69,88
AFLT;60;20210201;110000;69,68
AFLT;60;20210201;120000;70,04
AFLT;60;20210201;130000;70,14
AFLT;60;20210201;140000;69,7
AFLT;60;20210201;150000;69,84
AFLT;60;20210201;160000;70,08
AFLT;60;20210201;170000;70,16
AFLT;60;20210201;180000;69,92
AFLT;60;20210201;190000;70,08
AFLT;60;20210201;200000;70,04
AFLT;60;20210201;210000;70,1
AFLT;60;20210201;220000;70,16
AFLT;60;20210201;230000;70,24
AFLT;60;20210202;0;70,34
AFLT;60;20210202;110000;70,48
AFLT;60;20210202;120000;70,7
AFLT;60;20210202;130000;70,58
AFLT;60;20210202;140000;70,5
AFLT;60;20210202;150000;70,52
AFLT;60;20210202;160000;70,54
AFLT;60;20210202;170000;70,8
AFLT;60;20210202;180000;70,7
AFLT;60;20210202;190000;70,9
AFLT;60;20210202;200000;70,94
AFLT;60;20210202;210000;70,7
AFLT;60;20210202;220000;70,22
AFLT;60;20210202;230000;70,16
AFLT;60;20210203;0;70,14
AFLT;60;20210203;110000;70,64
AFLT;60;20210203;120000;70,64
AFLT;60;20210203;130000;70,62
AFLT;60;20210203;140000;70,54
AFLT;60;20210203;150000;70,8
AFLT;60;20210203;160000;70,6
AFLT;60;20210203;170000;70,7
AFLT;60;20210203;180000;70,48
AFLT;60;20210203;190000;70,54
AFLT;60;20210203;200000;70,42
AFLT;60;20210203;210000;70,44
AFLT;60;20210203;220000;70,44
AFLT;60;20210203;230000;70,56
AFLT;60;20210204;0;70,68
AFLT;60;20210204;110000;71
AFLT;60;20210204;120000;70,78
AFLT;60;20210204;130000;70,76
AFLT;60;20210204;140000;70,76
AFLT;60;20210204;150000;70,62
AFLT;60;20210204;160000;70,52
AFLT;60;20210204;170000;70,48
AFLT;60;20210204;180000;70,4
AFLT;60;20210204;190000;70,48
AFLT;60;20210204;200000;70,58
AFLT;60;20210204;210000;70,64
AFLT;60;20210204;220000;70,6
AFLT;60;20210204;230000;70,54
AFLT;60;20210205;0;70,56
AFLT;60;20210205;110000;70,7
AFLT;60;20210205;120000;70,74
AFLT;60;20210205;130000;70,66
AFLT;60;20210205;140000;71
AFLT;60;20210205;150000;70,88
AFLT;60;20210205;160000;70,74
AFLT;60;20210205;170000;70,68
AFLT;60;20210205;180000;70,72
AFLT;60;20210205;190000;70,44
AFLT;60;20210205;200000;70,68
AFLT;60;20210205;210000;70,7
AFLT;60;20210205;220000;70,74
AFLT;60;20210205;230000;70,8
AFLT;60;20210206;0;70,82
AFLT;60;20210208;110000;71,02
AFLT;60;20210208;120000;71,06
AFLT;60;20210208;130000;70,84
AFLT;60;20210208;140000;70,9
AFLT;60;20210208;150000;70,86
AFLT;60;20210208;160000;70,8
AFLT;60;20210208;170000;70,86
AFLT;60;20210208;180000;70,84
AFLT;60;20210208;190000;71,06
AFLT;60;20210208;200000;71
AFLT;60;20210208;210000;71,08
AFLT;60;20210208;220000;71,06
AFLT;60;20210208;230000;71,1
AFLT;60;20210209;0;71,08
AFLT;60;20210209;110000;71,06
AFLT;60;20210209;120000;70,6
AFLT;60;20210209;130000;70,44
AFLT;60;20210209;140000;70,56
AFLT;60;20210209;150000;70,48
AFLT;60;20210209;160000;70,46
AFLT;60;20210209;170000;70,34
AFLT;60;20210209;180000;70,24
AFLT;60;20210209;190000;70
AFLT;60;20210209;200000;70,28
AFLT;60;20210209;210000;70,3
AFLT;60;20210209;220000;70,3
AFLT;60;20210209;230000;70,42
AFLT;60;20210210;0;70,34
AFLT;60;20210210;110000;70,32
AFLT;60;20210210;120000;70,16
AFLT;60;20210210;130000;69,98
AFLT;60;20210210;140000;69,9
AFLT;60;20210210;150000;69,58
AFLT;60;20210210;160000;69,32
AFLT;60;20210210;170000;69,42
AFLT;60;20210210;180000;69,12
AFLT;60;20210210;190000;68,52
AFLT;60;20210210;200000;69,12
AFLT;60;20210210;210000;69,26
AFLT;60;20210210;220000;69,2
AFLT;60;20210210;230000;69,36
AFLT;60;20210211;0;69,18
AFLT;60;20210211;110000;68,7
AFLT;60;20210211;120000;69,02
AFLT;60;20210211;130000;68,94
AFLT;60;20210211;140000;68,74
AFLT;60;20210211;150000;68,68
AFLT;60;20210211;160000;68,84
AFLT;60;20210211;170000;68,9
AFLT;60;20210211;180000;68,94
AFLT;60;20210211;190000;68,86
AFLT;60;20210211;200000;68,9
AFLT;60;20210211;210000;68,82
AFLT;60;20210211;220000;68,98
AFLT;60;20210211;230000;68,9
AFLT;60;20210212;0;68,86
AFLT;60;20210212;110000;68,5
AFLT;60;20210212;120000;68,1
AFLT;60;20210212;130000;68,94
AFLT;60;20210212;140000;68,8
AFLT;60;20210212;150000;68,74
AFLT;60;20210212;160000;68,9
AFLT;60;20210212;170000;68,86
AFLT;60;20210212;180000;68,86
AFLT;60;20210212;190000;69
AFLT;60;20210212;200000;69,3
AFLT;60;20210212;210000;69,26
AFLT;60;20210212;220000;69,26
AFLT;60;20210212;230000;69,26
AFLT;60;20210213;0;69,28
AFLT;60;20210215;110000;69,46
AFLT;60;20210215;120000;69,4
AFLT;60;20210215;130000;69,12
AFLT;60;20210215;140000;68,98
AFLT;60;20210215;150000;69,14
AFLT;60;20210215;160000;69,08
AFLT;60;20210215;170000;68,92
AFLT;60;20210215;180000;69,1
AFLT;60;20210215;190000;69,04
AFLT;60;20210215;200000;69,36
AFLT;60;20210215;210000;69,48
AFLT;60;20210215;220000;69,5
AFLT;60;20210215;230000;69,6
AFLT;60;20210216;0;69,62
AFLT;60;20210216;110000;69,42
AFLT;60;20210216;120000;69,36
AFLT;60;20210216;130000;69,24
AFLT;60;20210216;140000;69,24
AFLT;60;20210216;150000;69,04
AFLT;60;20210216;160000;69,14
AFLT;60;20210216;170000;69,14
AFLT;60;20210216;180000;69,18
AFLT;60;20210216;190000;69,28
AFLT;60;20210216;200000;69,18
AFLT;60;20210216;210000;69,22
AFLT;60;20210216;220000;69,18
AFLT;60;20210216;230000;69,2
AFLT;60;20210217;0;69,5
AFLT;60;20210217;110000;69,2
AFLT;60;20210217;120000;69,32
AFLT;60;20210217;130000;69,26
AFLT;60;20210217;140000;69,22
AFLT;60;20210217;150000;69,4
AFLT;60;20210217;160000;69,48
AFLT;60;20210217;170000;69,22
AFLT;60;20210217;180000;69,06
AFLT;60;20210217;190000;69,08
AFLT;60;20210217;200000;69,1
AFLT;60;20210217;210000;69,16
AFLT;60;20210217;220000;69,08
AFLT;60;20210217;230000;69,24
AFLT;60;20210218;0;69,18
AFLT;60;20210218;110000;69,06
AFLT;60;20210218;120000;69,16
AFLT;60;20210218;130000;69,02
AFLT;60;20210218;140000;69
AFLT;60;20210218;150000;69
AFLT;60;20210218;160000;68,94
AFLT;60;20210218;170000;68,88
AFLT;60;20210218;180000;68,94
AFLT;60;20210218;190000;68,64
AFLT;60;20210218;200000;68,76
AFLT;60;20210218;210000;68,78
AFLT;60;20210218;220000;68,84
AFLT;60;20210218;230000;68,84
AFLT;60;20210219;0;68,8
AFLT;60;20210219;110000;68,74
AFLT;60;20210219;120000;68,94
AFLT;60;20210219;130000;69,1
AFLT;60;20210219;140000;69,02
AFLT;60;20210219;150000;68,98
AFLT;60;20210219;160000;68,96
AFLT;60;20210219;170000;68,92
AFLT;60;20210219;180000;69
AFLT;60;20210219;190000;69
AFLT;60;20210219;200000;68,94
AFLT;60;20210219;210000;68,98
AFLT;60;20210219;220000;69,06
AFLT;60;20210219;230000;69,04
AFLT;60;20210220;0;69,02
AFLT;60;20210220;110000;69,08
AFLT;60;20210220;120000;69,26
AFLT;60;20210220;130000;69,16
AFLT;60;20210220;140000;69,12
AFLT;60;20210220;150000;69,06
AFLT;60;20210220;160000;69,06
AFLT;60;20210220;170000;69,14
AFLT;60;20210220;180000;69,16
AFLT;60;20210220;190000;69,06
AFLT;60;20210220;200000;69,06
AFLT;60;20210220;210000;69,12
AFLT;60;20210220;220000;69,14
AFLT;60;20210220;230000;69,12
AFLT;60;20210221;0;69,14
AFLT;60;20210222;110000;69,4
AFLT;60;20210222;120000;69,3
AFLT;60;20210222;130000;69,22
AFLT;60;20210222;140000;69,32
AFLT;60;20210222;150000;69,26
AFLT;60;20210222;160000;69,06
AFLT;60;20210222;170000;69,04
AFLT;60;20210222;180000;69,1
AFLT;60;20210222;190000;69
AFLT;60;20210222;200000;69,12
AFLT;60;20210222;210000;69,14
AFLT;60;20210222;220000;69,22
AFLT;60;20210222;230000;69,2
AFLT;60;20210223;0;69,2
AFLT;60;20210224;110000;69,3
AFLT;60;20210224;120000;69,34
AFLT;60;20210224;130000;69,4
AFLT;60;20210224;140000;69,86
AFLT;60;20210224;150000;70,9
AFLT;60;20210224;160000;70,5
AFLT;60;20210224;170000;70,12
AFLT;60;20210224;180000;69,84
AFLT;60;20210224;190000;69,74
AFLT;60;20210224;200000;70,22
AFLT;60;20210224;210000;70,1
AFLT;60;20210224;220000;70,08
AFLT;60;20210224;230000;70,16
AFLT;60;20210225;0;70,3
AFLT;60;20210225;110000;70,2
AFLT;60;20210225;120000;69,96
AFLT;60;20210225;130000;70,12
AFLT;60;20210225;140000;70,06
AFLT;60;20210225;150000;69,94
AFLT;60;20210225;160000;69,94
AFLT;60;20210225;170000;70,08
AFLT;60;20210225;180000;69,96
AFLT;60;20210225;190000;69,9
AFLT;60;20210225;200000;69,74
AFLT;60;20210225;210000;69,7
AFLT;60;20210225;220000;69,64
AFLT;60;20210225;230000;69,74
AFLT;60;20210226;0;69,44
AFLT;60;20210226;110000;69,44
AFLT;60;20210226;120000;69,64
AFLT;60;20210226;130000;69,68
AFLT;60;20210226;140000;69,82
AFLT;60;20210226;150000;69,74
AFLT;60;20210226;160000;69,9
AFLT;60;20210226;170000;69,84
AFLT;60;20210226;180000;69,68
AFLT;60;20210226;190000;69,58
AFLT;60;20210226;200000;69,66
AFLT;60;20210226;210000;69,64
AFLT;60;20210226;220000;69,56
AFLT;60;20210226;230000;69,5
AFLT;60;20210227;0;69,66
AFLT;60;20210301;110000;69,94
AFLT;60;20210301;120000;69,98
AFLT;60;20210301;130000;69,82
AFLT;60;20210301;140000;69,94
AFLT;60;20210301;150000;69,68
AFLT;60;20210301;160000;69,72
AFLT;60;20210301;170000;69,86
AFLT;60;20210301;180000;70,1
AFLT;60;20210301;190000;70,26
AFLT;60;20210301;200000;70,1
AFLT;60;20210301;210000;70,2
AFLT;60;20210301;220000;70,1
AFLT;60;20210301;230000;70,04
AFLT;60;20210302;0;69,92
AFLT;60;20210302;110000;70,8
AFLT;60;20210302;120000;70,66
AFLT;60;20210302;130000;70,9
AFLT;60;20210302;140000;70,7
AFLT;60;20210302;150000;70,96
AFLT;60;20210302;160000;70,88
AFLT;60;20210302;170000;70,94
AFLT;60;20210302;180000;70,9
AFLT;60;20210302;190000;70,98
AFLT;60;20210302;200000;70,84
AFLT;60;20210302;210000;70,92
AFLT;60;20210302;220000;70,88
AFLT;60;20210302;230000;70,92
AFLT;60;20210303;0;71,1
AFLT;60;20210303;110000;71,06
AFLT;60;20210303;120000;70,88
AFLT;60;20210303;130000;71,22
AFLT;60;20210303;140000;71,42
AFLT;60;20210303;150000;71,24
AFLT;60;20210303;160000;70,9
AFLT;60;20210303;170000;70,36
AFLT;60;20210303;180000;70,8
AFLT;60;20210303;190000;70,92
AFLT;60;20210303;200000;70,78
AFLT;60;20210303;210000;70,92
AFLT;60;20210303;220000;70,96
AFLT;60;20210303;230000;70,76
AFLT;60;20210304;0;70,6
